Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,gift_owner,date_str,recipient_org,recipient,donor,gift_type,delivery_type,Description,value_determination_method,occasion,Date,donor_geo,Countries_donors,Year,Month,Year_Month,Countries_donors_2
2015-06-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,tekači teka miru,priložnostno,neposredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,recipient,2015-06-12,cabinet president government republic slovenia,functionary,runners peace run,occasional,directly,"picture ""certificate appreciation""",price checked market,call striker alcohol policy slovenia,2015-06-12,[],[],2015,6,2015-06,[]
2015-07-07,OKROŽNO SODIŠČE V SLOVENJ GRADCU,funkcionar,CHRISTIAN KORMANŠEK IN VZGOJNI ZAVOD SLIVNICA,priložnostno,neposredno,60,Cena navedena na knjigi,Poslovilni obisk veleposlanika,country,2015-07-07,district court sloveni gradac,functionary,christian kormanšek slivnica educational institute,occasional,directly,painting silk,price indicated book,farewell visit ambassador,2015-07-07,[],[],2015,7,2015-07,[]
2015-07-19,MESTNA OBČINA MARIBOR,funkcionar,"vladimir lisin, predsednik Evropske strelske zveze",protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POSLOVILNI OBISK,public sector entity (employer),2015-07-19,municipality maribor,functionary,"vladimir lisin, president european rifle association",protocol,directly,book entitled: summer olympic games 1896-2012 book entitled: olympic winter games 1924-2014,personal non-professional assessment,farewell visit,2015-07-19,[],[],2015,7,2015-07,[]
2015-08-24,MESTNA OBČINA MURSKA SOBOTA,funkcionar,MINISTER ZA KMETIJSTVO LUKSEMBURGA,protokolarno,neposredno,60,vrednost na knjigi,Darilo za vse udeležence na izobraževanju Kadrovske racionalizacija in prestrukturiranje po koncu epidemije Covida-19,public sector entity (employer),2015-08-24,municipality mursk sabota,functionary,minister agriculture luxembourg,protocol,directly,"book ""agriculture luxembourg""",book value,gift participants hr rationalization restructuring training end covid-19 epidemic,2015-08-24,[],[],2015,8,2015-08,[]
2015-09-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye hao,priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,PROSLAVA OB DNEVU DRŽAVNOSTI V OBČINI PIRAN,public sector entity (employer),2015-09-10,cabinet president government republic slovenia,functionary,"ambassador people's republic china russian federation, mr. ye hao",occasional,directly,tie,personal non-professional assessment,nationality day celebration municipality piran,2015-09-10,[],[],2015,9,2015-09,[]
2015-09-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednica švicarske konfederacije gospa simonette sommaruga,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,PROSLAVA OB DNEVU DRŽAVNOSTI V OBČINI PIRAN,public sector entity (employer),2015-09-24,cabinet president government republic slovenia,functionary,president swiss confederation mrs. simonette sommaruga,protocol,indirectly,pen,personal non-professional assessment,nationality day celebration municipality piran,2015-09-24,[],[],2015,9,2015-09,[]
2015-12-09,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Nj. Eksc. Youssef Mekkawy, veleposlanik Egipta v RS",priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK PDZ V AVSTRIJI,public sector entity (employer),2015-12-09,ministry foreign affairs,functionary,"mrs. exc. youssef mekkawy, ambassador egypt republic slovenia",occasional,directly,ship model (mereruka's ship),personal non-professional assessment,working visit pdz austria,2015-12-09,['egypt republic'],['egypt republic'],2015,12,2015-12,['egypt republic']
2015-12-30,OBČINA ŽALEC,funkcionar,"AGM NEMEC, SEDRAŽ 3, LAŠKO",priložnostno,neposredno,60,splet,Obisk,country,2015-12-30,municipality žalec,functionary,"agm nemec, sedraž 3, laško",occasional,directly,"gift set - powerbank, usb stick, bottle",web,visit,2015-12-30,[],[],2015,12,2015-12,[]
2016-01-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,SMUČARSKA ZVEZA SLOVENIJE,priložnostno,neposredno,60,"laično, preko interneta na podlagi podobnih izdelkov na spletni strani proizvajalca",bilateralno srečanje ob robu uradnega obiska PrS z delegacijo na madžarskem,public sector entity (employer),2016-01-16,office president republic slovenia,functionary,skiing association slovenia,occasional,directly,"ski jacket ""planica 2016""","layman, internet based similar products manufacturer's website",bilateral meeting sidelines official visit slovak republic hungarian delegation,2016-01-16,[],[],2016,1,2016-01,[]
2016-01-25,MINISTRSTVO ZA FINANCE,funkcionar,"zHANG xIAOYUAN, gd, cHINA ROAD AND bRIDGE CORPORATION, sERBIA bRANCH",protokolarno,neposredno,60,PODATEK DAROVALCA,"kONFERENCA ""PRIHODNOST KOROŠKIH SLOVENK IN SLOVENCEV 100 LET PO KOROŠKEM PLEBISCITU""",public sector entity (employer),2016-01-25,ministry finance,functionary,"zhang xiaoyuan, gd, cchina road bridge corporation, serbia branch",protocol,directly,tea service,information donor,"conference ""the future slovenian women slovenians 100 years plebiscite caroinsto""",2016-01-25,['serbia'],['serbia'],2016,1,2016-01,['serbia']
2016-02-09,MESTNA OBČINA MURSKA SOBOTA,funkcionar,župan občine škofja loka,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK NA MADŽARSKEM,public sector entity (employer),2016-02-09,municipality mursk sabota,functionary,mayor bishop loka municipality,protocol,directly,"book ""bishop's passion 2009""",personal non-professional assessment,official visit hungary,2016-02-09,[],[],2016,2,2016-02,[]
2016-04-13,"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",funkcionar,olimpijski komite slovenije,priložnostno,neposredno,60,PREVERJENA CENA PRI DAROVALCU,URADNI OBISK NA MADŽARSKEM,public sector entity (employer),2016-04-13,"ministry education, science sports",functionary,olympic committee slovenia,occasional,directly,running equipment,price checked donator,official visit hungary,2016-04-13,[],[],2016,4,2016-04,[]
2016-05-03,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavniki teka miru za slovenijo - world harmony run,priložnostno,neposredno,60,osebna nestrokovna ocena,sprejem veleposlanice,public sector entity (employer),2016-05-03,cabinet president government republic slovenia,functionary,representatives peace run slovenia - world harmony run,occasional,directly,"cd, book drawing",personal non-professional assessment,reception ambassador,2016-05-03,[],[],2016,5,2016-05,[]
2016-05-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,namestnik direktorja cia,priložnostno,posredno,60,PREVERJENA CENA NA SPLETU,"protokolarno darilo ob delovnem obisku MZZ Albanije v Sloveniji, 06.07.2020",country,2016-05-18,cabinet president government republic slovenia,functionary,deputy director cia,occasional,indirectly,desk clock,price checked online,"protocol gift working visit mfa albania slovenia, 07/06/2020",2016-05-18,[],[],2016,5,2016-05,[]
2016-05-27,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,slovenske železnice,priložnostno,posredno,60,PO TRENUTNI CENI,NEZNAN,public sector entity (employer),2016-05-27,cabinet president government republic slovenia,functionary,slovenian railways,occasional,indirectly,"book ""vremska dolina med karst brkini"" book ""škocijanska jame park""",current price,unknown,2016-05-27,[],[],2016,5,2016-05,[]
2016-06-16,"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",funkcionar,olimpijski komite ljudske republike kitajske,priložnostno,posredno,60,OSEBNA NESTROKOVNA OCENA,"sREČANJE Z G. kALMARJEM, SOPREDSEDUJOČIM SLOVENSKO MADŽARSKE MEŠANE KOMISIJE",public sector entity (employer),2016-06-16,"ministry education, science sports",functionary,olympic committee people's republic china,occasional,indirectly,coffee service,personal non-professional assessment,"meeting mr. kalmar, co-chairman slovak-hungarian mixed commission",2016-06-16,['china'],['china'],2016,6,2016-06,['china']
2016-06-18,MINISTRSTVO ZA ZDRAVJE,funkcionar,kitajska delegacija na srečanju s ceec na kitajskem,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,OBISK HOKEJSKE ŠOLE ANŽETA KOPITARJA,public sector entity (employer),2016-06-18,ministry health,functionary,chinese delegation meeting ceec china,protocol,directly,panda silk embroidery wooden frame,personal non-professional assessment,visit hockey school anžeta kopitarja,2016-06-18,['china'],['china'],2016,6,2016-06,['china']
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. jean spreutels in dr. etienne de groot,protokolarno,neposredno,60,nestrokovna ocena,delovno srečanje predsednikov vlad republike slovenije in republike hrvaške,country,2016-06-23,constitutional court republic slovenia,functionary,president dr. jean spreutels dr. etienne de groot,protocol,directly,selection belgian wines (3 bottles),non-professional assessment,working meeting prime ministers republic slovenia republic croatia,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,splet,obisk,country,2016-06-23,constitutional court republic slovenia,functionary,president dr. jean spreutels dr. etienne de groot,protocol,directly,selection belgian wines,web,visit,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POGOVOR PRI SVETOVALKI PRS,public sector entity (employer),2016-06-23,constitutional court republic slovenia,functionary,president dr. jean spreutels dr. etienne de groot,protocol,directly,selection belgian wines,personal non-professional assessment,conversation prs counselor,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POSLOVILNI OBISK,public sector entity (employer),2016-06-23,constitutional court republic slovenia,state body/local community/holder public authority,president dr. jean spreutels dr. etienne de groot,protocol,directly,selection belgian wines,personal non-professional assessment,farewell visit,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,dr. jean spreutels in dr. etienne de groot,protokolarno,neposredno,60,osebna nestrokovna ocena,darilo ob zaključku mandata,country,2016-06-23,constitutional court republic slovenia,state body/local community/holder public authority,dr. jean spreutels dr. etienne de groot,protocol,directly,selection belgian wines,personal non-professional assessment,gift end term,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,vesna bosanac v imenu muzeja vukovarske bolnice,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-06-23,constitutional court republic slovenia,functionary,vesna bosnian behalf vukovar hospital museum,protocol,directly,"photo monograph ""vukovar hospital 1991""",personal non-professional assessment,official visit slovak republic,2016-06-23,[],[],2016,6,2016-06,[]
2016-06-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednica r hrvaške kolinda grabar kitarović,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-06-24,cabinet president government republic slovenia,functionary,president croatian association kolinda grabar kitarović,protocol,indirectly,decorative plate,personal non-professional assessment,official visit slovak republic,2016-06-24,[],[],2016,6,2016-06,[]
2016-07-01,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,sng maribor,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-07-01,state assembly republic slovenia,functionary,sng maribor,protocol,indirectly,4 tickets see show,personal non-professional assessment,official visit slovak republic,2016-07-01,[],[],2016,7,2016-07,[]
2016-07-01,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,predstavniki ministrstva za kmetijstvo republike tatarstan,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-07-01,"ministry agriculture, forestry food",functionary,representatives ministry agriculture republic tatarstan,protocol,directly,"model capital, gilded framed wood",personal non-professional assessment,official visit slovak republic,2016-07-01,[],[],2016,7,2016-07,[]
2016-07-07,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"vp azebadijana, galeb israfilov",protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-07-07,ministry foreign affairs,functionary,"vp azebadijana, galeb israfilov",protocol,indirectly,carpet (small),personal non-professional assessment,official visit slovak republic,2016-07-07,['azebadijana'],['azebadijana'],2016,7,2016-07,['azebadijana']
2016-09-13,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavnik tajvana na sejmu mos v celju,priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-09-13,cabinet president government republic slovenia,functionary,representative taiwan mos fair celje,occasional,directly,wireless flash memory sd card reader,personal non-professional assessment,official visit slovak republic,2016-09-13,[],[],2016,9,2016-09,[]
2016-09-13,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs,priložnostno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-09-13,cabinet president government republic slovenia,functionary,ambassador republic china russian federation,occasional,indirectly,embroidered painting brocade,personal non-professional assessment,official visit slovak republic,2016-09-13,['china'],['china'],2016,9,2016-09,['china']
2016-10-11,"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",funkcionar,ministrstvo za izobraževanje lr kitajske,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,public sector entity (employer),2016-10-11,"ministry education, science sports",functionary,ministry education lr china,protocol,directly,paperweight shape chinese temple,personal non-professional assessment,official visit slovak republic,2016-10-11,['china'],['china'],2016,10,2016-10,['china']
2016-11-21,MINISTRSTVO ZA ZDRAVJE,funkcionar,"janez lavre, dir. UKC MB",priložnostno,neposredno,60,splet,obisk,country,2016-11-21,ministry health,functionary,"janez lavre, director ukc mb",occasional,directly,anthology: 120 years hospital slovenj gradec,web,visit,2016-11-21,[],[],2016,11,2016-11,[]
2016-12-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK VLADE EGIPTA,protokolarno,neposredno,60,osebna nestrokovna ocena,darilo ob uradnem obisku na slovaškem,country,2016-12-06,office president republic slovenia,functionary,president government egypt,protocol,directly,"""ka-aper"" statue sheikk el-balad",personal non-professional assessment,gift official visit slovakia,2016-12-06,['egypt'],['egypt'],2016,12,2016-12,['egypt']
2016-12-15,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,GS GCC Abdullatif bin Rashid Al Zayani,priložnostno,neposredno,60,PREVERJENA CENA NA SPLETU,"protokolarno darilo ob delovnem obisku MZZ dr. Logarja v Varšavi, 23.07.2020",country,2016-12-15,ministry foreign affairs,functionary,gcc dg abdullatif bin rashid al zayani,occasional,directly,gilded model palace box,price checked online,"protocol gift occasion working visit ministry foreign affairs dr. logar warsaw, 23/07/2020",2016-12-15,[],[],2016,12,2016-12,[]
2016-12-22,AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,državni organ/lokalna skupnost/nosilec javnih pooblastil,NLB SKLADI D.O.O.,priložnostno,neposredno,60,OSEBNA NESTROKOVNA,OBISK VELEPOSLANIKA V MESTNI HIŠI,public sector entity (employer),2016-12-22,securities market agency,state body/local community/holder public authority,nlb foundation d.o.o.,occasional,directly,"wine jug, wine bottle",personal non-professional,visit ambassador city hall,2016-12-22,[],[],2016,12,2016-12,[]
2016-12-31,MINISTRSTVO ZA JAVNO UPRAVO,funkcionar,veleposlanik zda,protokolarno,posredno,60,osebna nestrokovna ocena,obisk predsednika vrhovnega sodišča češke pri predsedniku vrhovnega sodišča Republike lovenije,public sector entity (employer),2016-12-31,ministry public administration,functionary,ambassador usa,protocol,indirectly,bottle wine zippo lighter,personal non-professional assessment,visit president supreme court czech republic president supreme court republic slovenia,2016-12-31,[],[],2016,12,2016-12,[]
2017-01-07,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"gospod danilo kline, organizacijski odbor 53. zlate lisice",priložnostno,neposredno,60,cena preverjena na spletu,damski program ob obisku ministra za zunanje zadeve združenih držav amerike,public sector entity (employer),2017-01-07,cabinet president government republic slovenia,functionary,"mr. danilo kline, organizing committee 53rd golden foxes",occasional,directly,crystal vase rogaška,price checked online,women's program visit minister foreign affairs united states america,2017-01-07,[],[],2017,1,2017-01,[]
2017-02-09,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"g. nikolaj nikiforov, minister za zveze in množične komunikacije ruske federacije",protokolarno,neposredno,60,cena preverjena na spletu,obisk trgovine v okviru damskega programa ob obisku ministra za zunanje zadeve združenih držav amerike,public sector entity (employer),2017-02-09,ministry foreign affairs,functionary,"mr. nikolay nikiforov, minister communications mass communications russian federation",protocol,directly,russian balalaika,price checked online,visit store part ladies' program visit minister foreign affairs united states america,2017-02-09,[],[],2017,2,2017-02,[]
2017-03-22,MINISTRSTVO ZA ZDRAVJE,funkcionar,minister za zdravstvo malte,protokolarno,posredno,60,nestrokovna ocena,obisk trgovine v okviru damskega programa ob obisku ministra za zunanje zadeve združenih držav amerike,public sector entity (employer),2017-03-22,ministry health,functionary,malta's minister health,protocol,indirectly,vase,non-professional assessment,visit store part ladies' program visit minister foreign affairs united states america,2017-03-22,['malta'],['malta'],2017,3,2017-03,['malta']
2017-04-20,MESTNA OBČINA LJUBLJANA,funkcionar,PREDSEDNIK SVETOVNEGA KONGRESA BOŠNJAKOV,protokolarno,neposredno,60,cena na knjigah,obisk stolnice v okviru damskega programa ob obisku ministra za zunanje zadeve združenih držav amerike,public sector entity (employer),2017-04-20,municipality ljubljana,functionary,president world congress bosniaches,protocol,directly,picture sarajevo copper,price books,visit cathedral part ladies' program visit minister foreign affairs united states america,2017-04-20,[],[],2017,4,2017-04,[]
2017-04-20,"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA",državni organ/lokalna skupnost/nosilec javnih pooblastil,UROŠ NEUDAUER S.P.,priložnostno,posredno,60,na podlagi pregleda spletnih ponudb in objavljenih cen,vljudnostno srečanje in podpis muo o sodelovanju med državama na področju trajnostne rabe gozdov,recipient,2017-04-20,"republic slovenia, ministry agriculture, forestry food, agency republic slovenia agricultural markets rural development",state body/local community/holder public authority,uroš neudauer s.p.,occasional,indirectly,three bottles yellow muscat + 3 bottles pinot gri,based review online offers published prices,courtesy meeting signing memorandum cooperation two countries field sustainable use forests,2017-04-20,[],[],2017,4,2017-04,[]
2017-05-26,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,državni organ/lokalna skupnost/nosilec javnih pooblastil,predsedstvo eu malte,protokolarno,neposredno,60,splet,/,country,2017-05-26,ministry economic development technology,state body/local community/holder public authority,eu malta presidency,protocol,directly,moran glass vase,web,,2017-05-26,[],[],2017,5,2017-05,[]
2017-06-17,OBČINA RADOVLJICA,funkcionar,PGD KAmna gorica,protokolarno,neposredno,60,preverjena cena na trgu,vljudnostna gesta,organization official holds position,2017-06-17,radovljica municipality,functionary,pgd ​​kamna gorica,protocol,directly,picture kozic ljubo: kamna gorica,verified market price,courtesy gesture,2017-06-17,[],[],2017,6,2017-06,[]
2017-06-20,MESTNA OBČINA MURSKA SOBOTA,funkcionar,župan občine šentilj,protokolarno,neposredno,60,laično,"obisk in ogled razstave, ki je potekala ob robu sveta koroške regije",recipient,2017-06-20,municipality mursk sabota,functionary,mayor šentilj municipality,protocol,directly,monograph municipality šentilj,layman,"visiting seeing exhibition, took place edge world carinthia region",2017-06-20,[],[],2017,6,2017-06,[]
2017-07-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,družinski član funkcionarja,"PROF. BAI CHUNLI, PRESEDNIK KITAJSKE AKADEMIJE ZNANOSTI",protokolarno,neposredno,60,preko cen navedenih na izdelku in preko interneta (knjiga),udeležba ga. pivec na svetu koroške regije,public sector entity (employer),2017-07-14,office president republic slovenia,family member official,"prof. bai chunli, president chinese academy sciences",protocol,directly,set plates table,via prices indicated product via internet (book),participation mr. carinthian region's world drinker,2017-07-14,[],[],2017,7,2017-07,[]
2017-07-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,družinski član funkcionarja,"PROF. BAI CHUNLI, PREDSEDNIK KITAJSKE AKADEMSKE ZNANOSTI",protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,PREDAJA POVERILNEGA PISMA,public sector entity (employer),2017-07-14,office president republic slovenia,family member official,"prof. bai chunli, president china academic sciences",protocol,directly,astronaut sculpture,personal non-professional assessment,delivery credentials,2017-07-14,['china'],['china'],2017,7,2017-07,['china']
2017-07-24,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,MZZ BELORUSIJE VLADIMIR MAKEI,protokolarno,neposredno,60,PODATEK DAROVALCA,pREDSTAVITEV KNJIŽNEGA PROGRAMA MOHORJEVE ZALOŽBE ZA L. 2020-21 IN NJENO DELOVANJE,recipient,2017-07-24,ministry foreign affairs,functionary,mfa belarus vladimir makei,protocol,directly,"coins ""the belts slutsk series""",information donor,presentation 2020-21 book program mohorje publishing operations,2017-07-24,[],[],2017,7,2017-07,[]
2017-10-23,MINISTRSTVO ZA ZDRAVJE,funkcionar,veleposlaništvo ljudske republike kitajske,protokolarno,posredno,60,NA PODLAGI PODATKA DAROVALCA,PREDSTAVITEV KNJIŽNEGA PROGRAMA MOHORJEVE ZALOŽBE ZA L. 2020-21 IN NJENO DELOVANJE,public sector entity (employer),2017-10-23,ministry health,functionary,embassy people's republic china,protocol,indirectly,book wonderful slovenia,based donor information,presentation 2020-21 mohor publishing book program operations,2017-10-23,['china'],['china'],2017,10,2017-10,['china']
2017-11-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"DR. TADEJ SLABE, PREDSEDNIK, INŠTITUT ZA RAZISKOVANJE KRASA",protokolarno,neposredno,60,podatek darovalca,sestanek - predstavitev inštituta,recipient,2017-11-23,office president republic slovenia,functionary,"dr. tadej slabe, president, kras research institute",protocol,directly,relief mountain field,donor information,meeting - presentation institute,2017-11-23,[],[],2017,11,2017-11,[]
2017-12-08,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,državni organ/lokalna skupnost/nosilec javnih pooblastil,VP R kitajske v RS,protokolarno,neposredno,60,NESTROKOVNA OCENA,DELOVNI OBISK PV MADŽARSKE V OKVIRU STRATEŠKEGA FORUMA BLED,country,2017-12-08,ministry economic development technology,state body/local community/holder public authority,vp republic china rs,protocol,directly,crystal bowl rogaška,non-professional assessment,working visit president hungary framework bled strategic forum,2017-12-08,['china'],['china'],2017,12,2017-12,['china']
2017-12-28,MESTNA OBČINA VELENJE,funkcionar,"igem, d. o. o., šaleška 21, velenje",priložnostno,neposredno,60,osebna ocena,dogodek - kamen z lune,country,2017-12-28,municipality velenje,functionary,"igem, d. o. o., šaleška 21, velenje",occasional,directly,"cognac, parker pourer",personal assessment,event - stone moon,2017-12-28,[],[],2017,12,2017-12,[]
2017-12-28,MESTNA OBČINA VELENJE,funkcionar,"aps, d. d., koroška 64, velenje",priložnostno,neposredno,60,PREVERJENA CENA NA SPLETU,"protokolarno darilo ob uradnem obisku MZZ Francije v Sloveniji, 03.-04.09.2020",country,2017-12-28,municipality velenje,functionary,"aps, d. d., koroška 64, velenje",occasional,directly,pilot funnel,price checked online,"protocol gift occasion official visit mfa france slovenia, 09/03-04/2020",2017-12-28,[],[],2017,12,2017-12,[]
2018-02-01,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNICA VLADE REPUBLIKE SRBIJE MAG. ANA BRNABIĆ,protokolarno,neposredno,60,na podlagi podatka darovalca,oBDARITEV ob prejemu naziva Častni občan Mestne občine Nova Gorica,public sector entity (employer),2018-02-01,office president republic slovenia,functionary,president government republic serbia mag. ana brnabić,protocol,directly,traditional handwoven carpet-kilim,based donor's information,gift receiving title honorary citizen municipality nova gorica,2018-02-01,[],[],2018,2,2018-02,[]
2018-04-09,MESTNA OBČINA LJUBLJANA,funkcionar,"GOSPOD RAFAIL ZINUROV, NAMESTNIK PREDSEDNIKA ODBORA SVETA FEDERACIJE ZA MEDNARODNO SODELOVANJE",protokolarno,neposredno,60,"na podlagi predhodne cene, ki je navedena na hrbtni strani darila",prošnja za izročitev darila,public sector entity (employer),2018-04-09,municipality ljubljana,functionary,"mr. rafail zinurov, deputy president council committee federation international cooperation",protocol,directly,picture cathedral st. basilia blessed,based previous price listed back gift,request hand gift,2018-04-09,[],[],2018,4,2018-04,[]
2018-04-23,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,državni organ/lokalna skupnost/nosilec javnih pooblastil,"sržavni sekretar slovaškega ministrstva za gospodarstvo, g. chovanec",protokolarno,neposredno,60,Cena navedena na knjigi (24 usa $),Poslovilni obisk veleposlanika,country,2018-04-23,ministry economic development technology,state body/local community/holder public authority,"head secretary slovak ministry economy, mr. pet",protocol,directly,book,price listed book (us$24),farewell visit ambassador,2018-04-23,[],[],2018,4,2018-04,[]
2018-04-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK SLOVAŠKE REPUBLIKE ANDREJ KISKA,protokolarno,neposredno,60,osebna nestrokovna ocena,pogovor pri prs,public sector entity (employer),2018-04-23,office president republic slovenia,functionary,"andrej kiska, president slovak republic",protocol,directly,ceramic set wooden box,personal non-professional assessment,conversation chest,2018-04-23,['slovak'],['slovak'],2018,4,2018-04,['slovak']
2018-05-03,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,državni organ/lokalna skupnost/nosilec javnih pooblastil,"predsednik EPO, g. Battisteli",protokolarno,neposredno,60,LASTNA PRESOJA,SPREJEM,recipient,2018-05-03,ministry economic development technology,state body/local community/holder public authority,"president epo, mr. battistelli",protocol,directly,book,judgment,accept,2018-05-03,[],[],2018,5,2018-05,[]
2018-06-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"PAUL PACKER, PREDSEDNIK KOMISIJE ZDA ZA ZAŠČITO AMERIŠKE DEDIŠČINE V TUJINI",protokolarno,neposredno,60,LASTNA PRESOJA,SPREJEM,recipient,2018-06-12,office president republic slovenia,functionary,"paul packer, chairman united states commission protect american heritage abroad",protocol,directly,cuff links,judgment,accept,2018-06-12,[],[],2018,6,2018-06,[]
2018-06-20,MESTNA OBČINA LJUBLJANA,funkcionar,VLADA SANKT PETERBURGA,protokolarno,posredno,60,preverjena cena na trgu,vljudnostna gesta,organization official holds position,2018-06-20,municipality ljubljana,functionary,saint petersburg government,protocol,indirectly,picture saint petersburg,verified market price,courtesy gesture,2018-06-20,[],[],2018,6,2018-06,[]
