Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2014-03-31,MINISTRSTVO ZA NOTRANJE ZADEVE,funkcionar,"ISMET IBISHU, NAMESTNIK MINISTRA ZA NZ KOSOVO",protokolarno,neposredno,KOSOVSKI POLICIJSKI GRB,35,PO PODATKIH DAROVALCA,ZADNJA SEJO OS V LETU 2016,funkcionar
2014-03-31,OBČINA RADOVLJICA,funkcionar,uko kROPA D.O.O.,priložnostno,neposredno,KOVANI KROPARSKI PODSTAVEK,35,PO PODATKIH DAROVALCA,ZADNJA SEJA OS V LETU 2016,funkcionar
2014-03-31,OBČINA RADOVLJICA,funkcionar,"ALEŠ KLEMENT, ZAVAROVALNICA TRIGLAV",priložnostno,neposredno,VODNI VRČ,35,po podatkih darovalca,zadnja seja v letu 2016,funkcionar
2014-04-14,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA II. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,ZAVOR RS ZA ŠOLSTVO,priložnostno,posredno,cd - didaktični pripomočki za pouk,35,PO PODATKIH DAROVALCA,ZADNJA SEJA OS V LETU 2016,funkcionar
2014-04-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"ga. darinka suljević (tradicija lesarstva in tgovanja v kočevju), gimnazija in srednja šola kočevje",priložnostno,neposredno,velika lesena zajemalka in 3 lesene kuhalnice,35,"delno osebna nestrokovna ocena, delno preverjena cena na trgu",darilo ob novem letu,funkcionar
2014-10-16,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik zveze društev slepih in slabovidnih slovenije g. tomaž wraber,priložnostno,posredno,"knjiga čutim, vidim, zmorem",35,preverjena cena na internetu,darilo ob novem letu,funkcionar
2015-01-20,MINISTRSTVO ZA ZDRAVJE,funkcionar,"G. FRANC HORVAT, ŽUPAN OBČINE TIŠINA",protokolarno,neposredno,UOKVIRJENA SLIKA S PODOBO NARAVE,35,TRŽNA VREDNOST,NOVOLETNI PRAZNIKI,funkcionar
2015-01-21,Ministrstvo za gospodarski razvoj in tehnologijo,funkcionar,poslanska skupina sd,priložnostno,neposredno,steklenica Chivasa,35,"cena knjige zabeležena na knjigi, za krožnik nestrokovna ocena",novoletna čestitka z darilom,država
2015-01-27,MESTNA OBČINA MARIBOR,funkcionar,"gerhard Mock, župan st. veita/Avstrija",protokolarno,neposredno,st veit an der glan,35,preveritev na spletu,obisk ob novem letu,lokalna skupnost
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"MARKUS GRUBEL, NEMŠKI DRŽAVNI SEKRETAR",protokolarno,neposredno,PORCELANAST KROŽNIK,35,TRŽNA VREDNOST,NOVOLETNI PRAZNIKI,funkcionar
2015-03-18,OBČINA HRPELJE - KOZINA,funkcionar,občina dolina-italija,protokolarno,neposredno,"knjiga ""Vitovska""",35,osebna ocena,poklon,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-03-25,MINISTRSTVO ZA ZDRAVJE,funkcionar,"GA. ROMANA LESJAK, ŽUPANJA OBČINE ČRNA NA KOROŠKEM",protokolarno,neposredno,KNJIGA ČRNA IN ČRNJANI,35,PREVERJENA CENA NA TRGU,NOVOLETNO DARILO,lokalna skupnost
2015-03-27,MESTNA OBČINA LJUBLJANA,funkcionar,VELEPOSLANIK BOLGARIJE,protokolarno,neposredno,KNJIGA,35,osebna nestrokovna ocena,ob novem letu,funkcionar
2015-03-27,MESTNA OBČINA LJUBLJANA,funkcionar,nj. eksc. gospod husam a.g. al husein,protokolarno,neposredno,ovitek,35,osebna nestrokovna ocena,ob novem letu,funkcionar
2015-03-27,VARUH ČLOVEKOVIH PRAVIC,državni organ/lokalna skupnost/nosilec javnih pooblastil,PREDSEDNIK USTAVNEGA SODIŠČA REPUBLIKE KOSOVO,protokolarno,neposredno,nALIVNIK IN KEMIČNI SVINČNIK,35,preverjeno na spletu,obisk ob zaključku leta,lokalna skupnost
2015-03-28,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,predsednik Federacije industrij zvezne države Rio de Janeiro (FIRJAN): Eduardo Eugenio Gouvêa Vieira,priložnostno,neposredno,knjiga Terra Brasil,35,na podlagi podatka darovalca,obisk v.d. direktorja ob novem letu,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-03-30,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,PODPREDSEDNIK VLADE LR KITAJSKE,protokolarno,posredno,ČAJNI SERVIS (ČAJNIK IN 6 SKODELIC),35,na podlagi podatka darovalca,obisk v.d. direktorja ob novem letu,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-03-30,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,PODPREDSEDNIK VLADE LR KITAJSKE,protokolarno,posredno,ČAJNI SERVIS (ČAJNIK IN 6 SKODELIC),35,osebna nestrokovna ocena,ob novem letu,funkcionar
2015-03-30,OBČINA TRZIN,funkcionar,"signaco d.o.o., topole 51a, 1234 mengeš",priložnostno,neposredno,"domači želodec 0,566 kg, lovska salama, stenski koledar, kvadratasta bonboniera 140g, čokoladnica olimje",35,osebna nestrokovna ocena,ob novem letu,funkcionar
2015-03-30,OBČINA TRZIN,funkcionar,"kam bus, d.o.o., perovo 30, 1241 kamnik",priložnostno,neposredno,"srebrna radgonska penina, tridelni stenski koledar, brkinski sir, kraški pršut 1,4 kg",35,osebna nestrokovna ocena,poslano s čestitko ob novem letu,država
2015-03-31,OBČINA ŠTORE,funkcionar,CELEIA D.O.O.,priložnostno,neposredno,RELAKSACIJSKA BLAZINA,35,pogled na spletni strani,novoletno obdarovanje,funkcionar
2015-03-31,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,funkcionar,"župan mesta novi sad, g. Miloš vučević, mestna hiša, trg svobode, novi sad",protokolarno,neposredno,renski forint s podstavkom (podoba kovanca-novi sad 1748),35,OSEBNA NESTROKOVNA OCENA,NOVOLETNA OBDARITEV,funkcionar
2015-04-17,OBČINA MEDVODE,državni organ/lokalna skupnost/nosilec javnih pooblastil,OBČINA ŽALEC,priložnostno,neposredno,KNJIGA,35,pogled na spletni strani,novoletno obdarovanje,funkcionar
2015-07-30,MESTNA OBČINA MARIBOR,funkcionar,"shi guangliang, namestnik generalnega direktorja Oddelka za trgovino province shandong",priložnostno,neposredno,knjiga z naslovom: shandong china,35,pogled na spletni strani,novoletno obdarovanje,funkcionar
2015-08-08,OBČINA LJUTOMER,državni organ/lokalna skupnost/nosilec javnih pooblastil,občina fulnek iz češke,protokolarno,neposredno,keramična posoda,35,pogled na spletni strani,novoletno obdarovanje,funkcionar
2015-08-13,MESTNA OBČINA MARIBOR,državni organ/lokalna skupnost/nosilec javnih pooblastil,"dr. aleksandar stjepčević, župan kotorja",protokolarno,neposredno,knjiga: kotor skriti dragi+ulj mediterana,35,pogled na spletni strani,novoletno obdarovanje,funkcionar
2015-09-09,MESTNA OBČINA MARIBOR,državni organ/lokalna skupnost/nosilec javnih pooblastil,paRAMHANS SWAMI,priložnostno,neposredno,KNJIGA Z NASLOVOM SISTEM JOGA V VSAKDANJEM ŽIVLJENJU,35,osebna nestrokovna ocena,priložnostno,funkcionar
2015-11-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"JOŽE DRENOVEC, DIREKTOR ŠOLSKEGA CENTRA KRANJ",protokolarno,neposredno,DREVO ZNANJA - SLIKA - SIMBOL ŠOLSKEGA CENTRA KRANJ,35,osebna nestrokovna ocena,priložnostno,funkcionar
2015-12-01,Socialno varstveni zavod Hrastovec,državni organ/lokalna skupnost/nosilec javnih pooblastil,zavod nuštar hrvaška,priložnostno,neposredno,"vino traminac, 3 stekleni izdelki ustvarjalne delavnice",35,osebna nestrokovna ocena,priložnostno,funkcionar
2015-12-22,OBČINA POSTOJNA,funkcionar,AMERIŠKO VELEPOSLANIŠTVO,priložnostno,posredno,STEKLENICA VISKIJA,35,osebna nestrokovna ocena,protokolarno,funkcionar
2015-12-29,OBČINA MEDVODE,funkcionar,"GRADKOP, SORA 21 A, MEDVODE",priložnostno,neposredno,"WHISKY, ROKOVNIK, ŠAL",35,osebna,darilo ob novem letu,funkcionar
2015-12-29,OBČINA MEDVODE,funkcionar,EKONA D.O.O.,priložnostno,neposredno,"WHISKY, ROKOVNIK",35,Ocenjena vrednost,za knjižnico,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-03-16,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"LIU Haixing, pomočnik zunanjega ministra",protokolarno,posredno,keramični komplet (čajnik in 4 skodelice),35,nestrokovna ocena,udeležba predsednika vlade na veleslalomski tekmi svetovnega pokala v alpskem smučanju za zlato lisico,država
2016-04-07,MESTNA OBČINA NOVO MESTO,funkcionar,predsednik skupščine prijateljskega mesta prijedor (BIH) sead jakupović,protokolarno,neposredno,"pijača ""Slivovka"" v okrasni leseni embalaži",35,osebna ocena,darilo ob novoletnem srečanju,funkcionar
2016-08-03,OBČINA RADOVLJICA,funkcionar,simona grgurevič,priložnostno,neposredno,kroparski svečnik,35,osebna ocena,darilo ob novoletnem srečanju,funkcionar
2016-10-23,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik vlade republike srbije g. aleksandar vučić,protokolarno,neposredno,Teniška majica s podpisom tenisača Novaka đokovića v okvirju,35,vrednosti z nestrokovno oceno ni mogoče določiti,predstavitveni obisk veleposlanika iraka,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-11-08,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavniki podjetja kolpa d.d.,priložnostno,neposredno,"nalivno pero ""gentleman"" in okrasni krožnik, oboje iz kerrocka",35,vrednosti z nestrokovno oceno ni mogoče določiti,obisk predsednika deželnega sveta furlanije julijske krajine,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-11-22,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,trgovinska zbornica irana,priložnostno,neposredno,monografija: iran-zibelka civilizacije,35,internet,obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-11-22,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,trgovinska zbornica irana,priložnostno,neposredno,kovinski krožnik fi 24cm,35,NESTROKOVNA OCENA,URADNI OBISK PV RS V ČEŠKI REPUBLIKI,država
2016-11-28,OBČINA KOSTANJEVICA NA KRKI,funkcionar,tv vaš kanal,priložnostno,neposredno,Rokovnik z lesenim ovitkom,35,nestrokovna ocena,uradni obisk pv rs v češki republiki,država
2016-12-02,OBČINA RADOVLJICA,funkcionar,"Alpetour, Ivanka Zupančič Gaber",priložnostno,neposredno,"usnjen pas, usnjena denarnica, steklenica vina",35,nestrokovna ocena,uradni obisk pv rs v češki republiki,država
2016-12-20,OBČINA ŠTORE,funkcionar,AZ INŽENIRING D.O.O.,priložnostno,neposredno,"VEČNAMENSKI NOŽ, PENINA",35,nestrokovna ocena,uradni obisk pv rs v češki republiki,država
2016-12-20,OBČINA ŠTORE,funkcionar,KOVINOSTRUGARSTVO PLANK ROMAN D.O.O.,protokolarno,neposredno,"KAPA, BUTELJKA REFOŠKA, OLIVNO OLJE 0,5L, KOZAREC OLIV",35,OSEBNA NESTROKOVNA OCENA,OGLED TEKME SVETOVNEGA POKALA V DESKANJU NA SNEGU NA ROGLI 2017,funkcionar
2016-12-22,OBČINA MEDVODE,funkcionar,BRINOX D.O.O.,priložnostno,neposredno,"NOTES, KOLEDAR, ETUI",35,vrednosti z nestrokovno oceno ni mogoče oceniti,delovni obisk predsednika državnega zbora v vatikanu,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-12-22,OBČINA TRZIN,funkcionar,"javno komunalno podjetje prodnik, d.o.o., savska cesta 34, 1230 domžale",priložnostno,neposredno,"nahrbtnik (fs47701) - zelene barve, praline bučnih semen, šampanjec istenič 0,75l, kozarci za vodo 6 kom",35,OSEBNA NESTROKOVNA OCENA,/,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-12-31,"Družba za upravljanje terjatev bank, d.d.",državni organ/lokalna skupnost/nosilec javnih pooblastil,cenilna družba,priložnostno,neposredno,Šampanjec Moet,35,vrednosti z nestrokovno oceno ni mogoče določiti,priložnostno darilo ob razstavi,lokalna skupnost
2017-03-08,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,MZZ Črne Gore dr. srđan darmanović,protokolarno,neposredno,stran oktoih prvoglasnika,35,na dpolagi podatka darovalca in označba na knjigi,ponovoletno srečanje z duhovniki,lokalna skupnost
2017-04-06,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,MZZ Madžarske,protokolarno,neposredno,"knjiga ""the blue rambler""",35,vrednosti z nestrokovno oceno ni mogoče določiti,sprejem kurentov,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-05-13,OBČINA LAŠKO,državni organ/lokalna skupnost/nosilec javnih pooblastil,mažorete radeče,priložnostno,neposredno,monografija,35,osebna nestrokovna ocena,bilateralno srečanje ob robu obiska predsednika republike v moskvi,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-05-22,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KOPER,državni organ/lokalna skupnost/nosilec javnih pooblastil,ćeklić jelena,priložnostno,neposredno,ženski uhani znamke guess,35,nestrokovna ocena,udeležba predsednika vlade rs na informativnem dnevu na srednji lesarski šoli v ljubljani,funkcionar
2017-06-07,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,funkcionar,"PHILIPE JAQUEMYNS, PREDSTAVNIK OBČINE WOLUWE-sAINT-LAMBERT ZADOLŽEN ZA MEDNARODNE ODNOSE",protokolarno,neposredno,"KNJIGA: hISTORIE DE WOLUWE-sAINT-LAMBERT, DANIEL fRANKIGNOUL",35,cena zabeležena na knjigi,udeležba predsednika vlade na slovesnem odprtju 42. pokala loka,funkcionar
2017-06-15,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. eduardo ferro rodrigues, predsednik parlamenta portugalske republike",protokolarno,posredno,okrasni krožnik,35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V RUSIJI,država
2017-07-30,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,METROPOLIT HANTI-MANSIJSKI IN SURGUTSKI PAVEL,protokolarno,neposredno,OKRASNI KROŽNIK S SLIKO,35,vrednosti z nestrokovno oceno ni mogoče določiti,obisk predsednika državnega zbora v albaniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-11-10,BANKA SLOVENIJE,funkcionar,vlada katalonije,priložnostno,posredno,"steklenici vina - Chic Barcelona (750 ml) in Finca L'argata, Collita, (750 ml)",35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V RUSIJI,država
2017-12-03,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,družinski član funkcionarja,VELEPOSLANIŠTVO RUSKE FEDERACIJE V LJUBLJANI,protokolarno,neposredno,PORCELANASTA SKODELICA S PODSTAVKOM,35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V RUSIJI,država
2017-12-04,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"dr. Mukhtar Ahmed, predsedujoči Komisiji za visoko izobraževanje Pakistana",priložnostno,neposredno,Lesen poslikan krožnik s simbolno zahvalo predsedujočega Komisiji za visoko izobraževanje Pakistana,35,osebna nestrokovna cena,URADNI OBISK V RUSKI FEDERACIJI,država
2017-12-11,OBČINA ŠTORE,funkcionar,IZLETNIK CELJE D.O.O.,priložnostno,neposredno,"STENSKI KOLEDAR, OBESEK, LONČEK, POHODNE PALICE",35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V RUSIJI,država
2017-12-12,OBČINA TRZIN,funkcionar,"Gorenjska gradbena družba, d.d., jezerska cesta 20, 4000 kranj",priložnostno,neposredno,"chardonnay vino, svinčnik parker-vector standard blue, stenski koledar, poslovnik, vžigalnik",35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V RUSIJI,država
2017-12-22,OBČINA MEDVODE,funkcionar,KOMUNALA KRANJ D.O.O.,priložnostno,neposredno,"BUTELJKA, ŠAL, ROKOVNIK, SUHO SADJE",35,preverjanje cene na trgu,poslovno darilo,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-12-22,OBČINA ŠTORE,funkcionar,VOC CELJE D.O.O.,priložnostno,neposredno,"BRISAČA, BUČNO OLJE, OBESEK, PIRANSKA SOL",35,LASTNA OCENA,POZORNOST OB OBISKU VARUHA PRI NJIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-12-28,"Družba za upravljanje terjatev bank, d.d.",državni organ/lokalna skupnost/nosilec javnih pooblastil,Abanka,priložnostno,neposredno,Chipolo card,35,preverba po internetu,priložnostno darilo ob letnem srečanju,lokalna skupnost
2018-01-05,OBČINA MEDVODE,funkcionar,OBČINA KOČEVJE,protokolarno,neposredno,KNJIGA - MONOGRAFIJA OBČINE KOČEVJE,35,osebna nestrokovna ocena,"študijski obisk sodnikov, ministrov, članov parlamenta Rep. kirgizije na sodnem svetu rep. slovenije","organizacija, v kateri funkcionar opravlja funkcijo"
2018-02-28,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,funkcionar,"Ivan Todosijevič, minister za lokalno upravo kosova",protokolarno,neposredno,Leseni kipec,35,OSEBNA NESTROKOVNA OCENA,OBISK LOGISTIČNE BRIGADE V PIVKI,država
2018-03-29,MESTNA OBČINA NOVO MESTO,funkcionar,namestnik Veleposlanika KRALJEVINE NIZOZEMSKE erik van uum,protokolarno,neposredno,tradicionalna nizozemska vaza za tulipane,35,osebna nestrokovna ocena,uradni obisk MZZ srbije v sloveniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-04-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,predsednik slovaške republike andrej kiska,protokolarno,neposredno,knjiga v trdih platnicah,35,OSEBNA NESTROKOVNA OCENA,OBISK V PREDSEDNIŠKI PALAČI - GIMNAZIJA JOŽETA PLEČNIKA,država
2018-11-08,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"George Ciamba, državni sekretar na MZZ Romunije, Bukarešta",priložnostno,neposredno,Pregled v posebni zbirki o slavnih romunskih osebnostih,35,OCENA,ZAHVALA ZA PRIJAZNOST PO IZDAJI ODLOČBE,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-07,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,GEODETSKI ZAVOD CELJE,priložnostno,neposredno,"KOLEDAR, SVETILKA, STEKLENICA ZA VODO, WISKI",35,CENA NAVEDENA NA KNJIGI,POSLANA SKUPAJ Z VABILOM NA KONFERENCO,lokalna skupnost
2018-12-11,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,interstar d.o.o.,priložnostno,neposredno,"termoflis, lesena košarica",35,lastna nestrokovna ocena,poslovno darilo,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"dr. tadej bajd, predsednik slovenske akademije znanosti in umetnosti",priložnostno,posredno,"zbornik ""biografski zbornik pokojnih članov 1938-2018"" in zbornik ""zagovor javnosti: med svobodo izražanja in sovražnim govorom""",35,OSEBNA NESTROKOVNA OCENA,UDELEŽBA NA PRIREDITVI ŠOLSKEGA CENTRA KRŠKO-SEVNICA,država
2018-12-21,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,voc celje d.o.o.,priložnostno,neposredno,"nahrbtnik, rokovnik, BRISAČA",35,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika ep v državnem zboru,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-28,MESTNA OBČINA VELENJE,funkcionar,"andrejc, d. o. o., topolšica 199b, ljubljana",priložnostno,neposredno,"vino, sol in poper set",35,osebna nestrokovna ocena,obisk predstavnikov ningbo,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-01-16,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"GOSPOD BRANKO MEH, PREDSEDNIK OBRTNO-PODJETNIŠKE ZBORNICE",priložnostno,neposredno,KRISTALNA SKLEDICA,35,osebna nestrokovna ocena,obisk predstavnikov ningbo,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-03-04,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"GRAMOZ RUCI, PREDSEDNIK PARLAMENTA ALBANIJE",protokolarno,neposredno,GLAVA KOZOROGA NA STEKLENEM PODSTAVKU,35,nestrokovna ocena,uradni obisk predsednika evropske komisije v rs,država
2019-04-30,MINISTRSTVO ZA INFRASTRUKTURO,funkcionar,CHIN LEI,priložnostno,neposredno,VEZENINA,35,nestrokovna ocena,obisk predsednika vlade RS v goriški regiji,funkcionar
2019-06-01,OBČINA RADOVLJICA,funkcionar,pobratena občina svilajnac,protokolarno,neposredno,"šampanjec, dve steklenici vina, med, 3 čokolade",35,cena zabeležena na knjigi,obisk predsednika vlade RS v goriški regiji,država
2019-06-06,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,gospod mik šimčič,priložnostno,posredno,"knjiga ""pope francis through my eyes""",35,osebna nestrokovna ocena,uradni obisk MZz črne gore v sloveniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-08-20,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,"nj. eksc. Masahuru yoshida, japonski veleposlanik v rs",protokolarno,neposredno,"vaza (material podoben lesu, poslikana)",35,lastna presoja,POZORNOST OB OBISKU VARUHA PRI NJIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-09-12,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,funkcionar,GENERALNA DRŽAVNA TOŽILKA REPUBLIKE SRBIJE ZAGORKA DOLOVAC,protokolarno,neposredno,KRAVATA,35,spletna stran trgovine mercatorja,opravičilo,država
2019-10-03,MESTNA OBČINA MURSKA SOBOTA,funkcionar,"robert inhof, direktor galerije murska sobota",priložnostno,neposredno,knjiga: osamljenosti,35,cena napisana na knjig,udeležba pv rs na 40. apislovenija,država
2019-12-03,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,intertransport jančič,priložnostno,neposredno,"2x majica, 4x nogavice, 2x brisača",35,lastna presoja,pozornost ob OBISKU VARUHINJE pri njih,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-12-09,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,kresnik zvonko s.p.,priložnostno,neposredno,"windstoper, stenski koledar, rokovnik",35,osebna nestrokovna ocena,srečanje z uredniki primorskih novic,država
2019-12-12,OBČINA ŠTORE,državni organ/lokalna skupnost/nosilec javnih pooblastil,simbio d.o.o.,priložnostno,neposredno,"suhomesnati izdelki, bunda",35,"na eni knjigi je cena zabeležena, za drugo je vrednost ocenjena nestrokovno",obisk predsednika vlade v društvu gluhoslepih slovenije dlan,država
2019-12-30,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"ga. lidija kos, vodja dnevnega centra štacjon",priložnostno,neposredno,uokvirjena slika z umetniškim motivom,35,nestrokovna ocena,obisk predsednika vlade v društvu gluhoslepih slovenije dlan,funkcionar
2020-05-29,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,GALERIJA MURSKA SOBOTA,priložnostno,posredno,"KNJIGA OSAMLJENOSTI, ROBERT INHOF",35,LASTNA OCENA,POZORNOST OB OBISKU VARUHA PRI NJIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-06-03,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,funkcionar,župan občine črnomelj,priložnostno,neposredno,knjiga črnomaljski zbornik,35,vrednosti z nestrokovno oceno ni mooče določiti,uradni obisk predsednika državnega zbora na hrvaškem,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-06-05,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,funkcionar,župan občine šentilj,priložnostno,neposredno,knjiga občine šentilj skozi čas,35,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora na hrvaškem,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-07-08,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,Uradna oseba,"fERENC KALMAR, MINISTRSTVO ZA ZUNANJE ZADEVE IN TRGOVINO",protokolarno,neposredno,"KNJIGA: HUNGARY (KOLOZSVARI iLDIKO, hAJNI iSTVAN)",35,OSEBNA NESTROKOVNA OVCENA,OBISK ŽUPANA,lokalna skupnost
2020-10-07,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"dušan krebel, župan občine mežica",protokolarno,neposredno,knjiga 'mežica skozi čas: fotografski album',35,osebna nestrokovna ocena,UDELEŽBA NA DOBRODELNEM KONCERTU OSNOVNE ŠOLE NAZARJE,država
2020-10-07,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Dušan KREBEL, župan Občine Mežica",priložnostno,neposredno,Knjiga z naslovom Mežica skozi čas - fotografski album avtorja Marijan Vončina,35,nestrokovno,protokolarno darilo,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-10-07,SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO,funkcionar,župan občine mežica,priložnostno,neposredno,"knjiga z naslovom: mežica skozi čas, fotografski album, marjan vončina",35,PREVERJENA PRI PRODAJALCU,PROTOKORALNI OBISK ŽUPANA SARAJEVA V MESTNI HIŠI,lokalna skupnost
2020-10-12,REPUBLIKA SLOVENIJA UPRAVNA ENOTA MARIBOR,državni organ/lokalna skupnost/nosilec javnih pooblastil,MUFTI PROF. DR. NEDŽAD GRABUS,priložnostno,neposredno,TRADICIONALNI BOSANSKI SET ZA KAVO,35,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika republike poljske v sloveniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-11-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"PHEN SAVNY,VELEPOSLANICA KRALJEVINE KAMBODŽE V RS",protokolarno,neposredno,TRADICIONALNA VITRAŽNA POSODA,35,nestrokovna ocena,uradni obisk predsednika poljske v rs,država
2020-12-09,OBČINA ŠTORE,Uradna oseba,vo-ka,priložnostno,neposredno,"dežnik, sok aronija, čaj",35,OSEBNA NESTROKOVNA OCENA,SESTANEK PRI ŽUPANU,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-12-15,OBČINA ŠTORE,Uradna oseba,zemeljska dela zvonko kresnik s.p.,priložnostno,neposredno,"termoflis, rokovnik, stenski koledar",35,osebna nestrokovna ocena,mešana gospodarska komisija slo-turkmenistan,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-12-18,MINISTRSTVO ZA INFRASTRUKTURO,Uradna oseba,"DIREKTOR 2TDK, D.O.O.",priložnostno,neposredno,ženska denarnica,35,OSEBNA NESTROKOVNA OCENA,URADNI OBISK POLJSKEGA PR V RS,država
