Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila,Datum_EN,Naziv_EN,Prejemnik_EN,Darovalec_EN,Tip darila_EN,Način izročitve_EN
2014-02-28,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"G. WILMER ARMANDO DEPABLOS, ZAČASNI ODPRAVNIK POSLOV, VELEPOSLANIŠTVO BOLIVARSKE REPUBLIKE VENEZUELE V REPUBLIKI SLOVENIJI",priložnostno,posredno,60,LAIČNA,VLJUDNOSTNO SREČANJE,Subjekta javnega sektorja (delodajalca),2014-02-28,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"Mr. WILMER ARMANDO DEPABLOS, CHARGE OF AFFAIRS PROVISIONAL, EMBASSY OF THE BOLIVARIAN REPUBLIC OF VENEZUELA IN THE REPUBLIC OF SLOVENIA",casually,Indirectly
2014-03-03,MESTNA OBČINA VELENJE,funkcionar,nogometni klub rudar velenje,priložnostno,posredno,60,OSEBNA NESTROKOVNA OCENA,priložnostno darilo ob novem letu,funkcionar,2014-03-03,MUNICIPALITY OF VELENJE,functionary,football club rudar velenje,casually,Indirectly
2014-03-11,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"JADRAN KLINEC,DIREKTOR UPRAVE ZA POMORSTVO",priložnostno,neposredno,60,preverjena cena na spletu,priložnostno darilo ob novem letu,funkcionar,2014-03-11,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"JADRAN KLINEC, DIRECTOR OF THE MARITIME ADMINISTRATION",casually,directly
2014-03-11,MESTNA OBČINA MURSKA SOBOTA,državni organ/lokalna skupnost/nosilec javnih pooblastil,klemens koje,protokolarno,neposredno,60,nestrokovna ocena,udeležba pv rs na 3. redni seji Skupščine Obrtno-podjetniške zbornice Slovenije,država,2014-03-11,MUNICIPALITY OF MURSK SABOTA,state body/local community/holder of public authority,Clemens which,protocol,directly
2014-03-11,OBČINA LJUTOMER,državni organ/lokalna skupnost/nosilec javnih pooblastil,grad užice,protokolarno,neposredno,60,Osebna nestrokovna ocena,Vljudnostno srečanje ob začetku mandata,država,2014-03-11,MUNICIPALITY OF LJUTOMER,state body/local community/holder of public authority,castle of pleasure,protocol,directly
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"tom harhin, ameriški senator",protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,FORUM VODITELJEV OB MEDNARODNEM DNEVU SPOMINA NA HOLOKAVST,Subjekta javnega sektorja (delodajalca),2014-03-14,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,"Tom Harhin, US Senator",protocol,Indirectly
2014-03-18,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,mohammad rahim aghaeipour,priložnostno,neposredno,60,Osebna nestrokovna ocena,Vljudnostno srečanje ob začetku mandata,država,2014-03-18,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,mohammad rahim aghaeipour,casually,directly
2014-03-18,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,augustin zegrean,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK PDZ V REPUBLIKI SEVERNI MAKEDONIJI,Subjekta javnega sektorja (delodajalca),2014-03-18,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,Augustin Zegrean,protocol,directly
2014-03-19,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,funkcionar,"gen FRank Grass, vodja biroja Nacionalne garde, ZDA",protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,PRILOŽNOSTNO DARILO,država,2014-03-19,MINISTRY OF DEFENSE OF THE REPUBLIC OF SLOVENIA,functionary,"Gen. FRank Grass, National Guard Bureau Chief, USA",protocol,directly
2014-03-19,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,funkcionar,"gm Michael Edwards, poveljnik nacionalne garde kolorado",protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK PDZ V REPUBLIKI SEVERNI MAKEDONIJI,Subjekta javnega sektorja (delodajalca),2014-03-19,MINISTRY OF DEFENSE OF THE REPUBLIC OF SLOVENIA,functionary,"GM Michael Edwards, commander of the Colorado National Guard",protocol,directly
2014-03-25,MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR,funkcionar,nedo hato - japonska,priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK PDZ V REPUBLIKI SEVERNA MAKEDONIJA,Subjekta javnega sektorja (delodajalca),2014-03-25,MINISTRY OF INFRASTRUCTURE AND SPATIAL PLANNING,functionary,nedo hato - Japanese,casually,directly
2014-03-28,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavniki podjetja knauf insulation d.o.o.,priložnostno,neposredno,60,NA PODLAGI PODATKA DAROVALCA,SPREJEM PUSTNIH MASIZ PTUJA - KURENTOV V DZ,Subjekta javnega sektorja (delodajalca),2014-03-28,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,representatives of the company knauf insulation d.o.o.,casually,directly
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Veleposlanik Republike Bolgarije v RS, Nj. eksc. gospod Soyanov Sirakov",protokolarno,neposredno,60,NA SPLETU SMO PREVERILI CENE PODOBNIH KNJIG IN cD-JEV,DOBRO SODELOVANJE,Subjekta javnega sektorja (delodajalca),2014-03-31,MUNICIPALITY OF LJUBLJANA,functionary,"Ambassador of the Republic of Bulgaria to the RS, H.E. exc. Mr. Soyanov Sirakov",protocol,directly
2014-03-31,MINISTRSTVO ZA NOTRANJE ZADEVE,funkcionar,KITAJSKA DELEGACIJA,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,UDELEŽBA NA SLAVNOSTNI AKADEMIJI OB 160.LETNICI ROJSTVA HUGA WOLFA,Subjekta javnega sektorja (delodajalca),2014-03-31,MINISTRY OF INTERIOR AFFAIRS,functionary,CHINESE DELEGATION,protocol,directly
2014-03-31,OBČINA RADOVLJICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,pobratena občina Svilajnac,protokolarno,neposredno,60,NA PODLAGI PODATKA DAROVALCA,60. KURENTOVANJE NA PTUJU ČASTNI POKROVITELJ PDZ,Subjekta javnega sektorja (delodajalca),2014-03-31,RADOVLJICA MUNICIPALITY,state body/local community/holder of public authority,sister municipality of Svilajnac,protocol,directly
2014-04-11,MINISTRSTVO ZA ZDRAVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,zdrava atmosfera,priložnostno,neposredno,60,enotna,predstavitev izobraževanja,Subjekta javnega sektorja (delodajalca),2014-04-11,MINISTRY OF HEALTH,state body/local community/holder of public authority,healthy atmosphere,casually,directly
2014-06-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik uprave uniorja darko hrastnik,priložnostno,neposredno,60,lastna PRESOJA,SPREJEM,Prejemnika,2014-06-24,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,the president of the board of unior darko hrastnik,casually,directly
2014-12-11,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. pierre de villemejane, predsednik uprave wwrd",priložnostno,neposredno,60,cena označena na priročniku,lastna pobuda,država,2014-12-11,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"Mr. pierre de villemejane, president of the wwrd board",casually,directly
2015-02-12,BANKA SLOVENIJE,funkcionar,CB Grčije,priložnostno,neposredno,60,NESTROKOVNA OCENA,POSLOVILNO SREČANJE,država,2015-02-12,BANK OF SLOVENIA,functionary,CB of Greece,casually,directly
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"WILMER ARMANDO DEPABLOS, ZAČASNI ODPRAVNIK POSLOV VP BOLIVARSKE REPUBLIKE VENEZUELE",priložnostno,neposredno,60,nestrokovna ocena,sprejem pri PV RS,država,2015-02-17,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,"WILMER ARMANDO DEPABLOS, PROVISIONAL CHARGE OF AFFAIRS VP OF THE BOLIVARIAN REPUBLIC OF VENEZUELA",casually,directly
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"maja gojković, predsednica narodne skupščine republike srbije",protokolarno,neposredno,60,nestrokovna ocena,čestitka predsedniku vlade ob izvolitvi,"organizacija, v kateri funkcionar opravlja funkcijo",2015-02-17,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,"Maja Gojković, President of the National Assembly of the Republic of Serbia",protocol,directly
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,župan občine novalja na hrvaškem,protokolarno,posredno,60,podatek darovalca,praznovanje 20-letnice obstoja podjetja,Prejemnika,2015-02-17,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,the mayor of the municipality of Novalja in Croatia,protocol,Indirectly
2015-03-12,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,vri madžarske,priložnostno,neposredno,60,PRIBLIŽNA OCENA,NAKLONJENOST ŠOLI,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-12,AUDIT COURT OF THE REPUBLIC OF SLOVENIA,functionary,vri hungarian,casually,directly
2015-03-12,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,vri hrvaške,priložnostno,neposredno,60,VREDNOST PODOBNIH IZDELKOV NA TRGU,VLJUDNOSTNA GESTA,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-12,AUDIT COURT OF THE REPUBLIC OF SLOVENIA,functionary,boil Croatian,casually,directly
2015-03-15,MESTNA OBČINA CELJE,funkcionar,PREDSEDNIK JADRANSKE KOŠARKARSKE LIGE,priložnostno,neposredno,60,VREDNOST JE NAVEDENA NA KNJIGI,VLJUDNOSTNA GESTA,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-15,CITY MUNICIPALITY OF CELJE,functionary,PRESIDENT OF THE ADRIATIC BASKETBALL LEAGUE,casually,directly
2015-03-18,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"minister za carino in trgovino Turčije, Nj. Eksc. g.Nurettin Canikli",protokolarno,neposredno,60,cena podobnih izdelkov na trgu,vljudnostna gesta,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-18,MINISTRY OF FOREIGN AFFAIRS,functionary,"Minister of Customs and Trade of Turkey, H.E. Exc. Mr. Nurettin Canikli",protocol,directly
2015-03-19,BANKA SLOVENIJE,funkcionar,PREDSEDNIK ECB,protokolarno,posredno,60,posebna nestrokovna ocena,dano v sejno sobo,Subjekta javnega sektorja (delodajalca),2015-03-19,BANK OF SLOVENIA,functionary,THE PRESIDENT OF THE ECB,protocol,Indirectly
2015-03-25,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,Gašper trženje d.o.o.,protokolarno,neposredno,60,PREVERJENA CENA NA TRGU,/,Subjekta javnega sektorja (delodajalca),2015-03-25,Ministry of Economic Development and Technology,state body/local community/holder of public authority,Gašper marketing d.o.o.,protocol,directly
2015-03-25,MINISTRSTVO ZA ZDRAVJE,funkcionar,"dr. medhat taha, svetovalec za zdravje v uradu prabbasa",protokolarno,posredno,60,CENA NAVEDENA NA KNJIGI,Vljudnostni predstavitveni pogovor,država,2015-03-25,MINISTRY OF HEALTH,functionary,"dr. medhat taha, health advisor at prabbas office",protocol,Indirectly
2015-03-26,MESTNA OBČINA MURSKA SOBOTA,funkcionar,veleposlanik indije,protokolarno,neposredno,60,osebna nestrokovna ocena,vljudnostna gesta,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-26,MUNICIPALITY OF MURSK SABOTA,functionary,Ambassador of India,protocol,directly
2015-03-26,MESTNA OBČINA MURSKA SOBOTA,funkcionar,veleposlanik francije,protokolarno,neposredno,60,osebna nestrokovna ocena,vljudnostna gesta,"organizacija, v kateri funkcionar opravlja funkcijo",2015-03-26,MUNICIPALITY OF MURSK SABOTA,functionary,ambassador of france,protocol,directly
2015-04-03,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,občina šentilj,protokolarno,neposredno,60,osebna nestrokovna ocena,vljudnostna gesta,"organizacija, v kateri funkcionar opravlja funkcijo",2015-04-03,Ministry of Economic Development and Technology,state body/local community/holder of public authority,the municipality of Sentilj,protocol,directly
2015-04-15,Osnovna šola Toneta Pavčka,državni organ/lokalna skupnost/nosilec javnih pooblastil,založba izoteh,priložnostno,posredno,60,OSEBNA NESTROKOVNA OCENA,PODELITEV REDA ZA ZASLUGE MOŠKI ČLANSKI ODBOJKARSKI REPREZENTANCI,Subjekta javnega sektorja (delodajalca),2015-04-15,Tone Pavček Elementary School,state body/local community/holder of public authority,isoteh publishing house,casually,Indirectly
2015-05-08,MESTNA OBČINA MURSKA SOBOTA,funkcionar,VELEPOSLANIK UKRAJINE V rs,protokolarno,neposredno,60,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,TERENSKI OBISK OBČINE,Subjekta javnega sektorja (delodajalca),2015-05-08,MUNICIPALITY OF MURSK SABOTA,functionary,AMBASSADOR OF UKRAINE IN rs,protocol,directly
2015-05-11,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"dr. andre alen, predsednik us kraljevine belgije",protokolarno,neposredno,60,LAIČNA,DELOVNI OBISK MINISTRA,Subjekta javnega sektorja (delodajalca),2015-05-11,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,"dr. Andre Allen, President of the Kingdom of Belgium",protocol,directly
2015-05-11,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"dr. Andre alen, predsednik us kraljevine belgije",protokolarno,neposredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-05-11,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,"dr. Andre Alain, President of the Kingdom of Belgium",protocol,directly
2015-05-14,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,predsednik r turkmenistan,protokolarno,neposredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-05-14,Ministry of Economic Development and Technology,state body/local community/holder of public authority,President of Turkmenistan,protocol,directly
2015-05-18,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",državni organ/lokalna skupnost/nosilec javnih pooblastil,slovaško ministrstvo za kmetijstvo,priložnostno,posredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-05-18,"MINISTRY OF AGRICULTURE, FORESTRY AND FOOD",state body/local community/holder of public authority,Slovak Ministry of Agriculture,casually,Indirectly
2015-05-18,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,slovaško ministrstvo za kmetijstvo,priložnostno,posredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-05-18,"MINISTRY OF AGRICULTURE, FORESTRY AND FOOD",functionary,Slovak Ministry of Agriculture,casually,Indirectly
2015-05-21,DOM NINE POKORN GRMOVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"SKUPNOST SOCIALNIH ZAVODOV SLOVENIJE, ga. Iva Soršak",priložnostno,neposredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-05-21,THE HOME OF NINA POKORN BUSHES,state body/local community/holder of public authority,"COMMUNITY OF SOCIAL INSTITUTIONS OF SLOVENIA, Mrs. Iva Soršak",casually,directly
2015-06-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,tekači teka miru,priložnostno,neposredno,60,PREVERJENA CENA NA TRGU,POZIV K STROŽJI ALKOHOLNI POLITIKI V SLOVENIJI,Prejemnika,2015-06-12,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,runners of the Peace Run,casually,directly
2015-07-07,OKROŽNO SODIŠČE V SLOVENJ GRADCU,funkcionar,CHRISTIAN KORMANŠEK IN VZGOJNI ZAVOD SLIVNICA,priložnostno,neposredno,60,Cena navedena na knjigi,Poslovilni obisk veleposlanika,država,2015-07-07,DISTRICT COURT IN SLOVENI GRADAC,functionary,CHRISTIAN KORMANŠEK AND SLIVNICA EDUCATIONAL INSTITUTE,casually,directly
2015-07-19,MESTNA OBČINA MARIBOR,funkcionar,"vladimir lisin, predsednik Evropske strelske zveze",protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POSLOVILNI OBISK,Subjekta javnega sektorja (delodajalca),2015-07-19,MUNICIPALITY OF MARIBOR,functionary,"vladimir lisin, president of the European Rifle Association",protocol,directly
2015-08-24,MESTNA OBČINA MURSKA SOBOTA,funkcionar,MINISTER ZA KMETIJSTVO LUKSEMBURGA,protokolarno,neposredno,60,vrednost na knjigi,Darilo za vse udeležence na izobraževanju Kadrovske racionalizacija in prestrukturiranje po koncu epidemije Covida-19,Subjekta javnega sektorja (delodajalca),2015-08-24,MUNICIPALITY OF MURSK SABOTA,functionary,MINISTER OF AGRICULTURE OF LUXEMBOURG,protocol,directly
2015-09-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye hao,priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,PROSLAVA OB DNEVU DRŽAVNOSTI V OBČINI PIRAN,Subjekta javnega sektorja (delodajalca),2015-09-10,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"Ambassador of the People's Republic of China to the Russian Federation, Mr. ye hao",casually,directly
2015-09-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednica švicarske konfederacije gospa simonette sommaruga,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,PROSLAVA OB DNEVU DRŽAVNOSTI V OBČINI PIRAN,Subjekta javnega sektorja (delodajalca),2015-09-24,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,President of the Swiss Confederation Mrs. Simonette Sommaruga,protocol,Indirectly
2015-12-09,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Nj. Eksc. Youssef Mekkawy, veleposlanik Egipta v RS",priložnostno,neposredno,60,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK PDZ V AVSTRIJI,Subjekta javnega sektorja (delodajalca),2015-12-09,MINISTRY OF FOREIGN AFFAIRS,functionary,"Mrs. Exc. Youssef Mekkawy, Ambassador of Egypt to the Republic of Slovenia",casually,directly
2015-12-30,OBČINA ŽALEC,funkcionar,"AGM NEMEC, SEDRAŽ 3, LAŠKO",priložnostno,neposredno,60,splet,Obisk,država,2015-12-30,MUNICIPALITY OF ŽALEC,functionary,"AGM NEMEC, SEDRAŽ 3, LAŠKO",casually,directly
2016-01-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,SMUČARSKA ZVEZA SLOVENIJE,priložnostno,neposredno,60,"laično, preko interneta na podlagi podobnih izdelkov na spletni strani proizvajalca",bilateralno srečanje ob robu uradnega obiska PrS z delegacijo na madžarskem,Subjekta javnega sektorja (delodajalca),2016-01-16,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,SKIING ASSOCIATION OF SLOVENIA,casually,directly
2016-01-25,MINISTRSTVO ZA FINANCE,funkcionar,"zHANG xIAOYUAN, gd, cHINA ROAD AND bRIDGE CORPORATION, sERBIA bRANCH",protokolarno,neposredno,60,PODATEK DAROVALCA,"kONFERENCA ""PRIHODNOST KOROŠKIH SLOVENK IN SLOVENCEV 100 LET PO KOROŠKEM PLEBISCITU""",Subjekta javnega sektorja (delodajalca),2016-01-25,MINISTRY OF FINANCE,functionary,"zHANG xIAOYUAN, gd, cCHINA ROAD AND BRIDGE CORPORATION, sERBIA bRANCH",protocol,directly
2016-02-09,MESTNA OBČINA MURSKA SOBOTA,funkcionar,župan občine škofja loka,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK NA MADŽARSKEM,Subjekta javnega sektorja (delodajalca),2016-02-09,MUNICIPALITY OF MURSK SABOTA,functionary,the mayor of the Bishop of Loka municipality,protocol,directly
2016-04-13,"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",funkcionar,olimpijski komite slovenije,priložnostno,neposredno,60,PREVERJENA CENA PRI DAROVALCU,URADNI OBISK NA MADŽARSKEM,Subjekta javnega sektorja (delodajalca),2016-04-13,"MINISTRY OF EDUCATION, SCIENCE AND SPORTS",functionary,Olympic Committee of Slovenia,casually,directly
2016-05-03,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavniki teka miru za slovenijo - world harmony run,priložnostno,neposredno,60,osebna nestrokovna ocena,sprejem veleposlanice,Subjekta javnega sektorja (delodajalca),2016-05-03,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,representatives of the peace run for Slovenia - world harmony run,casually,directly
2016-05-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,namestnik direktorja cia,priložnostno,posredno,60,PREVERJENA CENA NA SPLETU,"protokolarno darilo ob delovnem obisku MZZ Albanije v Sloveniji, 06.07.2020",država,2016-05-18,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,deputy director of the cia,casually,Indirectly
2016-05-27,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,slovenske železnice,priložnostno,posredno,60,PO TRENUTNI CENI,NEZNAN,Subjekta javnega sektorja (delodajalca),2016-05-27,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,Slovenian Railways,casually,Indirectly
2016-06-16,"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",funkcionar,olimpijski komite ljudske republike kitajske,priložnostno,posredno,60,OSEBNA NESTROKOVNA OCENA,"sREČANJE Z G. kALMARJEM, SOPREDSEDUJOČIM SLOVENSKO MADŽARSKE MEŠANE KOMISIJE",Subjekta javnega sektorja (delodajalca),2016-06-16,"MINISTRY OF EDUCATION, SCIENCE AND SPORTS",functionary,Olympic Committee of the People's Republic of China,casually,Indirectly
2016-06-18,MINISTRSTVO ZA ZDRAVJE,funkcionar,kitajska delegacija na srečanju s ceec na kitajskem,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,OBISK HOKEJSKE ŠOLE ANŽETA KOPITARJA,Subjekta javnega sektorja (delodajalca),2016-06-18,MINISTRY OF HEALTH,functionary,Chinese delegation at a meeting with CEEC in China,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. jean spreutels in dr. etienne de groot,protokolarno,neposredno,60,nestrokovna ocena,delovno srečanje predsednikov vlad republike slovenije in republike hrvaške,država,2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,President Dr. jean spreutels and dr. Etienne de Groot,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,splet,obisk,država,2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,President Dr. Jean spreutels and dr. Etienne de Groot,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POGOVOR PRI SVETOVALKI PRS,Subjekta javnega sektorja (delodajalca),2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,President Dr. Jean spreutels and dr. Etienne de Groot,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,predsednika dr. Jean spreutels in dr. Etienne de groot,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,POSLOVILNI OBISK,Subjekta javnega sektorja (delodajalca),2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,state body/local community/holder of public authority,President Dr. Jean spreutels and dr. Etienne de Groot,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,dr. jean spreutels in dr. etienne de groot,protokolarno,neposredno,60,osebna nestrokovna ocena,darilo ob zaključku mandata,država,2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,state body/local community/holder of public authority,dr. jean spreutels and dr. Etienne de Groot,protocol,directly
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,vesna bosanac v imenu muzeja vukovarske bolnice,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,Subjekta javnega sektorja (delodajalca),2016-06-23,CONSTITUTIONAL COURT OF THE REPUBLIC OF SLOVENIA,functionary,vesna Bosnian on behalf of the Vukovar hospital museum,protocol,directly
2016-06-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednica r hrvaške kolinda grabar kitarović,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,Subjekta javnega sektorja (delodajalca),2016-06-24,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,President of the Croatian Association Kolinda Grabar Kitarović,protocol,Indirectly
2016-07-01,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,sng maribor,protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,Subjekta javnega sektorja (delodajalca),2016-07-01,STATE ASSEMBLY OF THE REPUBLIC OF SLOVENIA,functionary,sng maribor,protocol,Indirectly
2016-07-01,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,predstavniki ministrstva za kmetijstvo republike tatarstan,protokolarno,neposredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,Subjekta javnega sektorja (delodajalca),2016-07-01,"MINISTRY OF AGRICULTURE, FORESTRY AND FOOD",functionary,representatives of the Ministry of Agriculture of the Republic of Tatarstan,protocol,directly
2016-07-07,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"vp azebadijana, galeb israfilov",protokolarno,posredno,60,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V SLOVAŠKI REPUBLIKI,Subjekta javnega sektorja (delodajalca),2016-07-07,MINISTRY OF FOREIGN AFFAIRS,functionary,"vp Azebadijana, Galeb Israfilov",protocol,Indirectly
